timestamp,temp,hum,rain,prev_sm,target_sm
86400000,22.1,83,15.1,59.81,61.58
172800000,21.2,86,0.0,61.58,66.37
259200000,21.5,85,0.0,66.37,61.7
345600000,21.8,80,0.0,61.7,57.63
432000000,22.5,77,0.0,57.63,54.17
518400000,22.5,75,0.0,54.17,51.01
604800000,22.5,69,5.7,51.01,51.32
691200000,22.0,73,12.7,51.32,63.14
777600000,22.1,75,0.0,63.14,64.02
864000000,22.2,74,0.0,64.02,59.95
950400000,22.2,74,0.0,59.95,56.16
1036800000,22.4,74,0.0,56.16,52.52
1123200000,22.8,74,0.0,52.52,49.42
1209600000,22.8,76,0.0,49.42,46.9
1296000000,22.5,80,0.0,46.9,45.01
1382400000,22.2,76,0.0,45.01,43.35
1468800000,21.7,84,0.0,43.35,41.92
1555200000,21.3,87,3.4,41.92,44.64
1641600000,21.8,83,0.0,44.64,47.76
1728000000,22.5,71,0.0,47.76,46.57
1814400000,22.8,64,0.0,46.57,44.18
1900800000,22.3,68,0.0,44.18,41.37
1987200000,22.9,67,0.0,41.37,38.52
2073600000,23.8,61,0.0,38.52,36.04
2160000000,24.5,57,0.0,36.04,34.29
2246400000,22.7,75,0.0,34.29,33.37
2332800000,21.9,81,0.0,33.37,32.66
2419200000,22.1,76,0.0,32.66,31.98
2505600000,22.0,74,0.0,31.98,31.34
2592000000,22.9,66,0.0,31.34,30.73
2678400000,22.3,65,0.0,30.73,30.13
2764800000,22.2,65,0.0,30.13,29.54
2851200000,22.9,57,0.0,29.54,29.0
2937600000,23.1,58,0.0,29.0,28.49
3024000000,23.4,55,0.0,28.49,27.99
3110400000,23.7,60,0.0,27.99,27.5
3196800000,23.8,71,0.0,27.5,27.04
3283200000,22.2,84,8.0,27.04,26.57
3369600000,22.3,84,0.0,26.57,26.11
3456000000,22.3,81,0.0,26.11,25.63
3542400000,22.9,74,0.0,25.63,25.13
3628800000,23.1,68,0.0,25.13,24.64
3715200000,22.6,67,0.0,24.64,24.19
3801600000,22.4,67,0.0,24.19,23.74
3888000000,22.4,67,0.0,23.74,23.3
3974400000,23.0,67,0.0,23.3,22.89
4060800000,23.9,66,0.0,22.89,22.49
4147200000,23.3,68,0.0,22.49,22.1
4233600000,22.0,73,0.0,22.1,21.69
4320000000,22.3,63,0.0,21.69,21.31
4406400000,22.6,58,0.0,21.31,20.94
4492800000,22.9,65,0.0,20.94,20.58
4579200000,23.3,67,0.0,20.58,20.24
4665600000,24.2,61,0.0,20.24,19.91
4752000000,23.4,72,0.0,19.91,19.6
4838400000,22.9,78,0.0,19.6,19.24
4924800000,22.9,78,0.0,19.24,18.9
5011200000,23.3,71,0.0,18.9,18.56
5097600000,22.3,81,0.0,18.56,21.98
5184000000,24.1,71,0.0,21.98,22.6
5270400000,23.4,75,0.0,22.6,19.67
5356800000,23.0,74,0.0,19.67,17.83
5443200000,23.6,65,0.0,17.83,17.27
5529600000,24.4,66,0.0,17.27,16.97
5616000000,24.2,74,12.5,16.97,21.5
5702400000,23.3,81,34.7,21.5,24.86
5788800000,22.7,80,68.0,24.86,58.37
5875200000,23.2,78,33.3,58.37,70.4
5961600000,23.6,76,0.0,70.4,73.75
6048000000,22.8,78,0.0,73.75,68.96
6134400000,23.1,67,0.0,68.96,63.0
6220800000,23.5,71,0.0,63.0,57.84
6307200000,23.7,68,0.0,57.84,53.28
6393600000,24.1,67,0.0,53.28,49.22
6480000000,24.6,66,0.0,49.22,45.85
6566400000,25.0,68,0.0,45.85,43.3
6652800000,25.2,69,0.0,43.3,41.8
6739200000,25.5,67,0.0,41.8,40.77
6825600000,25.0,67,0.0,40.77,39.81
6912000000,24.8,67,0.0,39.81,38.92
6998400000,25.1,64,0.0,38.92,38.09
7084800000,24.8,65,0.0,38.09,37.25
7171200000,24.4,65,0.0,37.25,36.43
7257600000,23.8,67,0.0,36.43,35.65
7344000000,24.4,66,0.0,35.65,34.94
7430400000,25.5,61,0.0,34.94,34.26
7516800000,25.3,65,0.0,34.26,33.58
7603200000,25.0,66,0.0,33.58,32.89
7689600000,24.8,67,0.0,32.89,32.24
7776000000,23.2,77,4.8,32.24,31.6
7862400000,23.4,74,20.1,31.6,37.82
7948800000,22.8,79,15.3,37.82,53.35
8035200000,22.3,83,22.5,53.35,57.61
8121600000,22.6,82,1.6,57.61,67.73
8208000000,22.6,80,0.0,67.73,62.71
8294400000,23.2,70,0.0,62.71,57.54
8380800000,23.5,73,9.9,57.54,53.71
8467200000,23.2,78,4.1,53.71,57.19
8553600000,22.1,84,0.0,57.19,60.47
8640000000,22.1,81,0.0,60.47,56.03
8726400000,21.9,82,0.0,56.03,51.92
8812800000,22.3,78,0.0,51.92,48.25
8899200000,22.4,81,0.0,48.25,44.97
8985600000,22.6,80,0.0,44.97,41.95
9072000000,21.9,85,37.1,41.95,49.12
9158400000,22.0,81,0.0,49.12,62.62
9244800000,23.6,73,0.0,62.62,59.61
9331200000,23.1,76,35.5,59.61,69.06
