timestamp,temp,hum,rain,prev_sm,target_sm
0,23.9,74.6,0,29.16,28.77
900000,25,70.5,0,28.77,28.45
1800000,23.8,77.7,0,28.45,28.1
2700000,26.4,78.5,0,28.1,43.2
3600000,23.5,74,0.1,43.2,55.74
4500000,21.6,81.4,0.1,55.74,62.47
5400000,20.5,87,0.1,62.47,71.74
6300000,19.6,91.9,0.1,71.74,78.33
7200000,19.1,95.6,0.1,78.33,82.04
8100000,18.7,97.6,0.1,82.04,85.06
9000000,19.2,97.9,0.1,85.06,87.58
9900000,19.4,96.3,0.1,87.58,89.82
10800000,19.2,97.3,0.1,89.82,89.61
11700000,19.3,97.2,0,89.61,89.44
12600000,19.4,96.7,0,89.44,89.26
13500000,19.2,99.6,0,89.26,89.07
14400000,18,99,0,89.07,88.82
15300000,16.9,100,0,88.82,88.62
16200000,16.8,100,0,88.62,88.48
17100000,16.6,100,0,88.48,88.28
18000000,17,100,0,88.28,88.07
18900000,17.3,100,0,88.07,87.82
19800000,17.3,100,0,87.82,87.68
20700000,17.4,100,0,87.68,87.45
21600000,17.4,100,0,87.45,87.22
22500000,17.4,100,0,87.22,86.96
23400000,17.1,100,0,86.96,86.72
24300000,17,100,0,86.72,86.53
25200000,17.2,100,0,86.53,86.39
26100000,17.2,100,0,86.39,86.2
27000000,17.5,100,0,86.2,85.97
27900000,17.7,100,0,85.97,85.7
28800000,17.6,100,0,85.7,85.49
29700000,17.1,100,0,85.49,85.3
30600000,16.7,100,0,85.3,85.15
31500000,16.8,100,0,85.15,84.94
32400000,16.9,100,0,84.94,84.71
33300000,17,100,0,84.71,84.45
34200000,16.9,100,0,84.45,84.22
35100000,16.9,100,0,84.22,84.01
36000000,16.5,100,0,84.01,83.8
36900000,16.3,100,0,83.8,83.59
37800000,16.2,100,0,83.59,83.43
38700000,16.2,100,0,83.43,83.29
39600000,16.1,100,0,83.29,83.07
40500000,16.1,100,0,83.07,82.9
41400000,16,100,0,82.9,82.73
42300000,15.9,100,0,82.73,82.55
43200000,15.9,100,0,82.55,82.32
44100000,16.1,100,0,82.32,82.12
45000000,16.2,100,0,82.12,81.94
45900000,16.6,100,0,81.94,81.74
46800000,17.3,100,0,81.74,85.26
47700000,18.3,100,0.1,85.26,87.51
48600000,18.9,99.7,0.1,87.51,89.52
49500000,19.6,98.5,0.1,89.52,91.12
50400000,19.6,97.6,0.1,91.12,90.89
51300000,19.2,98.1,0,90.89,90.72
52200000,19.9,96.9,0,90.72,90.48
53100000,21.9,93.7,0,90.48,90.14
54000000,22.5,88.3,0,90.14,89.68
54900000,28.1,70.5,0,89.68,89.31
55800000,27,70.8,0,89.31,88.92
56700000,24.7,78,0,88.92,88.45
57600000,27.5,70,0,88.45,87.85
58500000,33,52.8,0,87.85,87.32
59400000,30.2,56.3,0,87.32,86.83
60300000,26.8,67.3,0,86.83,86.25
61200000,31.3,55.2,0,86.25,88.9
