time,sm_c4grass,rfe,rfe_filled,temperature_2m_mean (°C),relative_humidity_2m_mean (%)
02/01/2016,59.81,0,0,22.7,78
03/01/2016,61.58,15.1,15.1,22.1,83
04/01/2016,66.37,0,0,21.2,86
05/01/2016,61.7,0,0,21.5,85
06/01/2016,57.63,0,0,21.8,80
07/01/2016,54.17,0,0,22.5,77
08/01/2016,51.01,0,0,22.5,75
09/01/2016,51.32,5.7,5.7,22.5,69
10/01/2016,63.14,12.7,12.7,22,73
11/01/2016,64.02,0,0,22.1,75
12/01/2016,59.95,0,0,22.2,74
13/01/2016,56.16,0,0,22.2,74
14/01/2016,52.52,0,0,22.4,74
15/01/2016,49.42,0,0,22.8,74
16/01/2016,46.9,0,0,22.8,76
17/01/2016,45.01,0,0,22.5,80
18/01/2016,43.35,0,0,22.2,76
19/01/2016,41.92,0,0,21.7,84
20/01/2016,44.64,3.4,3.4,21.3,87
21/01/2016,47.76,0,0,21.8,83
22/01/2016,46.57,0,0,22.5,71
23/01/2016,44.18,0,0,22.8,64
24/01/2016,41.37,0,0,22.3,68
25/01/2016,38.52,0,0,22.9,67
26/01/2016,36.04,0,0,23.8,61
27/01/2016,34.29,0,0,24.5,57
28/01/2016,33.37,0,0,22.7,75
29/01/2016,32.66,0,0,21.9,81
30/01/2016,31.98,0,0,22.1,76
31/01/2016,31.34,0,0,22,74
01/02/2016,30.73,0,0,22.9,66
02/02/2016,30.13,0,0,22.3,65
03/02/2016,29.54,0,0,22.2,65
04/02/2016,29,0,0,22.9,57
05/02/2016,28.49,0,0,23.1,58
06/02/2016,27.99,0,0,23.4,55
07/02/2016,27.5,0,0,23.7,60
08/02/2016,27.04,0,0,23.8,71
09/02/2016,26.57,8,8,22.2,84
10/02/2016,26.11,0,0,22.3,84
11/02/2016,25.63,0,0,22.3,81
12/02/2016,25.13,0,0,22.9,74
13/02/2016,24.64,0,0,23.1,68
14/02/2016,24.19,0,0,22.6,67
15/02/2016,23.74,0,0,22.4,67
16/02/2016,23.3,0,0,22.4,67
17/02/2016,22.89,0,0,23,67
18/02/2016,22.49,0,0,23.9,66
19/02/2016,22.1,0,0,23.3,68
20/02/2016,21.69,0,0,22,73
21/02/2016,21.31,0,0,22.3,63
22/02/2016,20.94,0,0,22.6,58
23/02/2016,20.58,0,0,22.9,65
24/02/2016,20.24,0,0,23.3,67
25/02/2016,19.91,0,0,24.2,61
26/02/2016,19.6,0,0,23.4,72
27/02/2016,19.24,0,0,22.9,78
28/02/2016,18.9,0,0,22.9,78
29/02/2016,18.56,0,0,23.3,71
01/03/2016,21.98,0,0,22.3,81
02/03/2016,22.6,0,0,24.1,71
03/03/2016,19.67,0,0,23.4,75
