time,sm_c4grass,rfe,rfe_filled,temperature_2m_mean (°C),relative_humidity_2m_mean (%)
02/01/2016,13.01,0,0,31.5,38
03/01/2016,12.99,0,0,30.8,42
04/01/2016,12.97,0,0,30.9,45
05/01/2016,12.95,0,0,30.6,43
06/01/2016,12.93,0,0,30.6,40
07/01/2016,12.91,0,0,30.5,43
08/01/2016,12.89,2.1,2.1,31,40
09/01/2016,12.87,0,0,30.8,39
10/01/2016,12.85,0,0,31,35
11/01/2016,12.83,0,0,30.8,41
12/01/2016,12.8,0,0,30.8,41
13/01/2016,12.78,0,0,31.4,39
14/01/2016,12.76,0,0,31.5,38
15/01/2016,12.74,0,0,31.2,39
16/01/2016,12.72,0,0,31.4,42
17/01/2016,12.7,0,0,30.7,45
18/01/2016,12.68,0,0,30,48
19/01/2016,12.66,2.7,2.7,30.5,45
20/01/2016,12.64,0,0,30.1,48
21/01/2016,12.62,0,0,30.7,44
22/01/2016,12.61,0,0,30.6,35
23/01/2016,12.59,0,0,30.7,33
24/01/2016,12.57,0,0,30.7,31
25/01/2016,12.55,0,0,31.2,36
26/01/2016,12.53,0,0,32,28
27/01/2016,12.51,0,0,31.1,21
28/01/2016,12.49,0,0,31.6,16
29/01/2016,12.47,0,0,28.7,31
30/01/2016,12.45,0,0,28.6,56
31/01/2016,12.43,0,0,30.1,44
01/02/2016,12.41,0,0,30.8,39
02/02/2016,12.39,0,0,31.3,33
03/02/2016,12.38,0,0,30,30
04/02/2016,12.36,0,0,30.2,29
05/02/2016,12.35,0,0,30.9,26
06/02/2016,12.33,0,0,30.8,27
07/02/2016,12.32,0,0,31.2,30
08/02/2016,12.3,0,0,32.5,31
09/02/2016,12.29,0,0,32.2,28
10/02/2016,12.28,0,0,31.5,44
11/02/2016,12.27,0,0,32,39
12/02/2016,12.25,0,0,32.2,35
13/02/2016,12.24,0,0,31.7,34
14/02/2016,12.23,0,0,31.8,30
15/02/2016,12.22,0,0,31.2,32
16/02/2016,12.21,0,0,31.1,32
17/02/2016,12.19,0,0,31.2,31
18/02/2016,12.18,0,0,31.6,34
19/02/2016,12.17,0,0,32.1,33
20/02/2016,12.16,0,0,30.8,32
21/02/2016,12.14,0,0,30.4,29
22/02/2016,12.13,0,0,30.6,28
23/02/2016,12.12,0,0,31,33
24/02/2016,12.11,0,0,31.7,34
25/02/2016,12.1,0,0,32.3,35
26/02/2016,13.19,14.8,14.8,30.1,53
27/02/2016,15.44,0,0,30.4,55
28/02/2016,12.53,0,0,31.1,44
29/02/2016,12.14,0,0,31.7,39
01/03/2016,12.12,0,0,31.8,44
02/03/2016,12.1,0,0,31.9,45
03/03/2016,15.9,22.2,22.2,32.3,42
04/03/2016,16.77,0,0,32.3,37
05/03/2016,13.19,0,0,32,35
06/03/2016,12.6,0,0,32.3,40
07/03/2016,12.57,0,0,33.1,39
08/03/2016,12.54,5.5,5.5,32,46
09/03/2016,17.51,11.1,11.1,30.5,54
10/03/2016,17.96,0.9,0.9,31,51
11/03/2016,15.77,0,0,32.2,43
12/03/2016,13.55,0,0,32,39
13/03/2016,12.97,0,0,32,33
14/03/2016,12.93,0,0,32.4,30
15/03/2016,12.9,0,0,32.4,32
16/03/2016,12.88,0,0,32.9,33
17/03/2016,12.86,0,0,33.2,35
18/03/2016,12.84,0,0,32.3,40
19/03/2016,12.81,0,0,33.3,38
20/03/2016,12.79,0,0,33.8,30
21/03/2016,12.76,0,0,34.1,29
22/03/2016,12.74,0,0,33.3,34
23/03/2016,12.71,0,0,33.1,35
24/03/2016,12.69,0,0,33.2,35
25/03/2016,12.67,0,0,33,34
26/03/2016,12.65,0,0,32.8,33
27/03/2016,12.62,0,0,32.8,32
28/03/2016,12.6,0,0,33.7,34
29/03/2016,12.59,0,0,34,36
30/03/2016,12.57,5.1,5.1,33.6,38
31/03/2016,12.55,0.2,0.2,33.8,37
01/04/2016,12.52,5.6,5.6,32.7,39
02/04/2016,12.48,0,0,32,40
03/04/2016,12.45,0,0,32.3,40
04/04/2016,12.42,4.3,4.3,31.3,46
05/04/2016,12.38,0,0,31.3,47
06/04/2016,12.35,0,0,31.9,46
07/04/2016,12.33,0,0,31.9,40
08/04/2016,12.31,0,0,32.5,34
09/04/2016,12.29,1.7,1.7,32.3,37
10/04/2016,12.27,0,0,31.9,45
11/04/2016,12.25,0,0,30.8,50
12/04/2016,12.23,0,0,31.2,48
13/04/2016,12.21,6.1,6.1,30.8,50
14/04/2016,12.19,0,0,31.3,47
15/04/2016,12.17,0,0,32.1,44
16/04/2016,12.15,0,0,31.4,46
17/04/2016,12.13,0.9,0.9,30.3,53
18/04/2016,12.12,5.9,5.9,30.5,52
19/04/2016,12.09,4.2,4.2,27.8,69
20/04/2016,12.26,2.8,2.8,26.4,78
21/04/2016,12.01,0,0,26.8,76
22/04/2016,11.98,0,0,28.4,68
23/04/2016,11.96,0,0,29.2,61
24/04/2016,11.94,1.8,1.8,29.9,57
25/04/2016,11.92,1.5,1.5,30.1,56
26/04/2016,11.89,1,1,29.7,56
27/04/2016,11.87,4.4,4.4,29.1,58
28/04/2016,12.05,3.9,3.9,24.9,84
29/04/2016,11.84,0,0,25.3,86
30/04/2016,15.15,10.7,10.7,25.4,83
01/05/2016,16.59,3.7,3.7,24.3,86
02/05/2016,17.21,0,0,25.7,83
03/05/2016,14.74,0,0,26,82
04/05/2016,13,0,0,26.3,73
05/05/2016,15.33,9.1,9.1,26.5,74
06/05/2016,18.95,13.6,13.6,24.4,86
07/05/2016,25.42,3.4,3.4,25.5,83
08/05/2016,22.4,0,0,26,77
09/05/2016,19.35,0,0,26.1,70
10/05/2016,17.63,5.9,5.9,26.4,72
11/05/2016,20.93,6.3,6.3,25.6,78
12/05/2016,19.77,0,0,25.7,77
13/05/2016,17.18,0,0,26.6,71
14/05/2016,15.83,0,0,27.3,65
15/05/2016,15.66,0,0,28.4,52
16/05/2016,17.88,0,0,28.7,52
17/05/2016,20.59,0,0,29.1,52
18/05/2016,18,0,0,29.5,53
19/05/2016,16.02,13.5,13.5,28.9,59
20/05/2016,15.41,0,0,28.4,61
21/05/2016,15.33,0,0,29.3,54
22/05/2016,15.26,0,0,29.6,47
23/05/2016,15.2,0,0,29.6,45
24/05/2016,15.15,0,0,29.8,40
25/05/2016,15.1,0,0,29.2,41
26/05/2016,15.05,0,0,29.5,41
27/05/2016,15.01,0,0,30,39
28/05/2016,14.97,0,0,29.8,37
29/05/2016,14.92,0,0,29.6,35
30/05/2016,14.88,0,0,29.5,36
31/05/2016,14.84,0,0,29.3,39
01/06/2016,14.79,0,0,29.7,37
02/06/2016,14.75,0,0,29.6,38
03/06/2016,14.7,0,0,29.8,40
